Corner,cap_scs,mos_scs,res_scs,vdd,vss,AC_Gain_abs,AC_Gain_at_DC,BW_3dB,PM,Z_in,Z_out,DC_Bias_Output,In_Ref_noise,PSRR_P_1MHz,PSRR_N_1MHz,Vout_Mid_Point,Max_Vout_Sin,Min_Vout_Sin,SlewRate_Pos,SlewRate_Neg,HD2,HD3,Vout_Swing
Proc_Vol_min_86,tm,wo,tm,2.75,-2.25,7.671,17.7,151400000,64.31,3333000,1168,0.2263,4.966e-08,2.175e-07,2.522e-07,0.1934,0.9328,-0.5461,441100000,-441600000,-46.13,-54.4,1.479
Proc_Vol_min_87,tm,wo,tm,2.5,-2.75,6.824,16.68,135000000,69.78,3378000,1328,-0.3645,5.432e-08,2.306e-07,2.662e-07,-0.3753,0.2949,-1.046,328400000,-322100000,-55.81,-62.15,1.34
Proc_Vol_min_88,tm,wo,tm,2.25,-2.75,5.01,14,118500000,81.21,3366000,1521,-0.5515,6.618e-08,2.396e-07,2.688e-07,-0.5529,-0.05352,-1.052,219200000,-216000000,-73.98,-97.83,0.9987
Proc_Vol_min_89,tm,wo,tm,2.75,-2.75,8.621,18.71,149600000,61.11,3390000,1187,-0.1845,4.784e-08,2.218e-07,2.656e-07,-0.2131,0.6144,-1.041,447600000,-442600000,-47.34,-52.43,1.655
Proc_Vol_min_90,wp,wo,tm,2.5,-2.5,6.358,16.07,135300000,72.29,3357000,1323,-0.1549,5.607e-08,2.277e-07,2.608e-07,-0.1674,0.4586,-0.7933,322600000,-317800000,-54.62,-64.18,1.252
Proc_Vol_min_91,wp,wo,tm,2.25,-2.5,4.609,13.27,118300000,84.21,3349000,1521,-0.3392,6.936e-08,2.355e-07,2.651e-07,-0.3418,0.118,-0.8015,212200000,-209300000,-68.18,-94.54,0.9195
Proc_Vol_min_92,wp,wo,tm,2.75,-2.5,8.168,18.24,150400000,62.63,3365000,1179,0.02351,4.866e-08,2.209e-07,2.577e-07,-0.007241,0.7784,-0.7928,445600000,-442300000,-46.72,-53.34,1.571
Proc_Vol_min_93,wp,wo,tm,2.5,-2.25,5.871,15.37,135900000,74.92,3331000,1315,0.05094,5.814e-08,2.233e-07,2.567e-07,0.03695,0.6161,-0.5422,315800000,-311300000,-53.58,-66.37,1.158
Proc_Vol_min_94,wp,wo,tm,2.25,-2.25,4.202,12.47,118300000,87.24,3328000,1519,-0.1295,7.308e-08,2.303e-07,2.619e-07,-0.1333,0.2862,-0.5528,204600000,-202000000,-64.89,-88.13,0.839
Proc_Vol_min_95,wp,wo,tm,2.75,-2.25,7.671,17.7,151400000,64.31,3333000,1168,0.2263,4.966e-08,2.175e-07,2.522e-07,0.1934,0.9328,-0.5461,441100000,-441600000,-46.13,-54.4,1.479
Proc_Vol_min_96,wp,wo,tm,2.5,-2.75,6.824,16.68,135000000,69.78,3378000,1328,-0.3645,5.432e-08,2.306e-07,2.662e-07,-0.3753,0.2949,-1.046,328400000,-322100000,-55.81,-62.15,1.34
Proc_Vol_min_97,wp,wo,tm,2.25,-2.75,5.01,14,118500000,81.21,3366000,1521,-0.5515,6.618e-08,2.396e-07,2.688e-07,-0.5529,-0.05352,-1.052,219200000,-216000000,-73.98,-97.83,0.9987
Proc_Vol_min_98,wp,wo,tm,2.75,-2.75,8.621,18.71,149600000,61.11,3390000,1187,-0.1845,4.784e-08,2.218e-07,2.656e-07,-0.2131,0.6144,-1.041,447600000,-442600000,-47.34,-52.43,1.655
Proc_Vol_min_99,ws,wo,tm,2.5,-2.5,6.358,16.07,135300000,72.29,3357000,1323,-0.1549,5.607e-08,2.277e-07,2.608e-07,-0.1674,0.4586,-0.7933,322600000,-317800000,-54.62,-64.18,1.252
Proc_Vol_min_100,ws,wo,tm,2.25,-2.5,4.609,13.27,118300000,84.21,3349000,1521,-0.3392,6.936e-08,2.355e-07,2.651e-07,-0.3418,0.118,-0.8015,212200000,-209300000,-68.18,-94.54,0.9195
Proc_Vol_min_101,ws,wo,tm,2.75,-2.5,8.168,18.24,150400000,62.63,3365000,1179,0.02351,4.866e-08,2.209e-07,2.577e-07,-0.007241,0.7784,-0.7928,445600000,-442300000,-46.72,-53.34,1.571
