Corner,VDD,VSS,cap_scs,mos_scs,res_scs,DCGain,GBW,PM,Zin_val,Zout_val,ICMR_Max,ICMR_Min,Out_Swing_Max,Out_Swing_Min,PSRR_VDD_1MHz,PSRR_VSS_1MHz,Vout_Sin_Max,Vout_Sin_Min,Iout_Sin_Max,Iout_Sin_Min
PV_99,2.25,-2.25,ws,wo,tm,33.43,6047000,70.52,11470000,5.325,1.838,-1.706,2.084,-1.706,5.288e-05,0.0001346,1.477,-1.497,0.02994,-0.02954
PV_100,2.5,-2.25,ws,wo,tm,32.94,6279000,72.26,10850000,4.85,2.051,-1.86,2.323,-1.86,5.103e-05,0.000132,1.479,-1.505,0.0301,-0.02959
PV_101,2.75,-2.25,ws,wo,tm,30.25,5252000,77.26,10020000,4.457,2.259,-1.95,2.561,-1.95,6.094e-05,0.0001613,1.48,-1.508,0.03017,-0.0296
PV_102,2.25,-2.5,ws,wo,tm,34.19,7216000,69.59,10790000,4.855,1.824,-1.965,2.073,-1.965,4.239e-05,0.0001134,1.476,-1.513,0.03026,-0.02952
PV_103,2.5,-2.5,ws,wo,tm,33.34,7191000,71.9,10190000,4.461,2.036,-2.112,2.311,-2.112,4.253e-05,0.0001156,1.478,-1.514,0.03028,-0.02957
PV_104,2.75,-2.5,ws,wo,tm,30.41,5816000,77.17,9394000,4.131,2.243,-2.193,2.548,-2.193,5.229e-05,0.0001454,pending,pending,pending,pending
PV_105,2.25,-2.75,ws,wo,tm,34.78,8369000,69.61,10180000,4.466,1.808,-2.231,2.06,-2.231,3.395e-05,9.802e-05,1.475,-1.513,0.03027,-0.02949
PV_106,2.5,-2.75,ws,wo,tm,33.55,7982000,72.45,9596000,4.135,2.019,-2.366,2.298,-2.366,3.545e-05,0.000104,1.477,-1.514,0.03028,-0.02954
PV_107,2.75,-2.75,ws,wo,tm,30.49,6334000,77.1,8841000,3.853,2.225,-2.438,2.535,-2.438,4.437e-05,0.0001332,pending,pending,pending,pending
PV_108,2.25,-2.25,tm,wz,tm,30.7,5766000,75.88,9533000,4.635,1.929,-1.927,2.105,-1.927,2.291e-05,0.0001532,1.48,-1.486,0.02972,-0.0296
PV_109,2.5,-2.25,tm,wz,tm,27.08,4341000,81.6,8672000,4.248,2.147,-1.989,2.344,-1.989,3.027e-05,0.0002036,1.481,-1.491,0.02982,-0.02963
PV_110,2.75,-2.25,tm,wz,tm,24.81,3735000,85.32,8060000,3.925,2.355,-2.025,2.583,-2.025,3.552e-05,0.0002397,1.482,-1.494,0.02988,-0.02964
PV_111,2.25,-2.5,tm,wz,tm,30.52,6241000,76.38,8813000,4.252,1.914,-2.179,2.094,-2.179,1.817e-05,0.0001411,1.479,-1.514,0.03027,-0.02958
PV_112,2.5,-2.5,tm,wz,tm,27.09,4809000,81.88,8066000,3.928,2.131,-2.233,2.333,-2.233,2.379e-05,0.0001857,1.48,-1.514,0.03029,-0.02961
PV_113,2.75,-2.5,tm,wz,tm,25.11,4202000,85.06,7551000,3.655,2.339,-2.267,2.572,-2.267,2.731e-05,0.0002139,pending,pending,pending,pending
