Corner,cap_scs,mos_scs,res_scs,DC_Gain_dB,BW_3dB,PM,Zin_1MHz,Zout_1MHz,DC_Gain_Abs,DC_Bias_Output,In_Ref_Noise,PSRR_P,PSRR_N,HD2,HD3,Iout_p2p,Gm,Iout_Sin_Max,Iout_Sin_Min,SR_Pos,SR_Neg,VDD,VSS
PV_max_353,ws,wo,tm,23.83,14870000,31.75,3453000,1.004,15.54,-0.3375,3.488e-08,5.37e-05,5.821e-05,-41.11,-36.77,0.05593,0.2796,0.02154,-0.03439,14640000,-14800000,2.75,-2.5
PV_max_354,ws,wo,tm,24.18,12310000,31.15,3452000,1.353,16.17,-0.3124,3.241e-08,5.059e-05,5.603e-05,-30.15,-29.86,0.05652,0.2826,0.0235,-0.03302,10080000,-9919000,2.5,-2.25
PV_max_355,ws,wo,tm,24.66,10310000,29.9,3515000,1.629,17.11,-0.5145,2.974e-08,4.758e-05,5.338e-05,-20.55,-24.02,0.05544,0.2772,0.02206,-0.03338,4541000,-4128000,2.25,-2.25
PV_max_356,ws,wo,tm,23.67,13920000,33.79,3428000,1.148,15.26,-0.1194,3.477e-08,5.379e-05,5.917e-05,-39.75,-36.46,0.05484,0.2742,0.02509,-0.02975,13430000,-13260000,2.75,-2.25
PV_max_357,ws,wo,tm,24.51,14250000,28.37,3490000,1.019,16.8,-0.757,3.266e-08,5.007e-05,5.431e-05,-30.57,-31.41,0.05911,0.2955,0.01637,-0.04274,11570000,-12270000,2.5,-2.75
PV_max_358,ws,wo,tm,25.09,12490000,24.9,3540000,1.19,17.97,-0.9643,3.001e-08,4.674e-05,5.136e-05,-21.14,-24.51,0.05912,0.2956,0.01539,-0.04373,4807000,-5035000,2.25,-2.75
PV_max_359,ws,wo,tm,23.95,15820000,29.61,3474000,0.8883,15.75,-0.5616,3.5e-08,5.333e-05,5.745e-05,-40.65,-36.78,0.05668,0.2834,0.01772,-0.03896,15650000,-16350000,2.75,-2.75
PV_max_360,ws,wo,wp,24.37,13320000,29.85,3472000,1.166,16.53,-0.5328,3.253e-08,5.045e-05,5.507e-05,-30.46,-30.62,0.05798,0.2899,0.02006,-0.03792,10890000,-11090000,2.5,-2.5
PV_max_361,ws,wo,wp,24.9,11450000,26.95,3528000,1.382,17.57,-0.7382,2.988e-08,4.725e-05,5.224e-05,-20.8,-24.09,0.05742,0.2871,0.01887,-0.03855,4714000,-4567000,2.25,-2.5
PV_max_362,ws,wo,wp,23.83,14870000,31.75,3453000,1.004,15.54,-0.3375,3.488e-08,5.37e-05,5.821e-05,-41.11,-36.77,0.05593,0.2796,0.02154,-0.03439,14640000,-14800000,2.75,-2.5
PV_max_363,ws,wo,wp,24.18,12310000,31.15,3452000,1.353,16.17,-0.3124,3.241e-08,5.059e-05,5.603e-05,-30.15,-29.86,0.05652,0.2826,0.0235,-0.03302,10080000,-9919000,2.5,-2.25
PV_max_364,ws,wo,wp,24.66,10310000,29.9,3515000,1.629,17.11,-0.5145,2.974e-08,4.758e-05,5.338e-05,-20.55,-24.02,0.05544,0.2772,0.02206,-0.03338,4541000,-4128000,2.25,-2.25
PV_max_365,ws,wo,wp,23.67,13920000,33.79,3428000,1.148,15.26,-0.1194,3.477e-08,5.379e-05,5.917e-05,-39.75,-36.46,0.05484,0.2742,0.02509,-0.02975,13430000,-13260000,2.75,-2.25
PV_max_366,ws,wo,wp,24.51,14250000,28.37,3490000,1.019,16.8,-0.757,3.266e-08,5.007e-05,5.431e-05,-30.57,-31.41,0.05911,0.2955,0.01637,-0.04274,11570000,-12270000,2.5,-2.75
PV_max_367,ws,wo,wp,25.09,12490000,24.9,3540000,1.19,17.97,-0.9643,3.001e-08,4.674e-05,5.136e-05,-21.14,-24.51,0.05912,0.2956,0.01539,-0.04373,4807000,-5035000,2.25,-2.75
PV_max_368,ws,wo,wp,23.95,15820000,29.61,3474000,0.8883,15.75,-0.5616,3.5e-08,5.333e-05,5.745e-05,-40.65,-36.78,0.05668,0.2834,0.01772,-0.03896,15650000,-16350000,2.75,-2.75
PV_max_369,ws,wo,ws,24.37,13320000,29.85,3472000,1.166,16.53,-0.5328,3.253e-08,5.045e-05,5.507e-05,-30.46,-30.62,0.05798,0.2899,0.02006,-0.03792,10890000,-11090000,2.5,-2.5
PV_max_370,ws,wo,ws,24.9,11450000,26.95,3528000,1.382,17.57,-0.7382,2.988e-08,4.725e-05,5.224e-05,-20.8,-24.09,0.05742,0.2871,0.01887,-0.03855,4714000,-4567000,2.25,-2.5
PV_max_371,ws,wo,ws,23.83,14870000,31.75,3453000,1.004,15.54,-0.3375,3.488e-08,5.37e-05,5.821e-05,-41.11,-36.77,0.05593,0.2796,0.02154,-0.03439,14640000,-14800000,2.75,-2.5
PV_max_372,ws,wo,ws,24.18,12310000,31.15,3452000,1.353,16.17,-0.3124,3.241e-08,5.059e-05,5.603e-05,-30.15,-29.86,0.05652,0.2826,0.0235,-0.03302,10080000,-9919000,2.5,-2.25
PV_max_373,ws,wo,ws,24.66,10310000,29.9,3515000,1.629,17.11,-0.5145,2.974e-08,4.758e-05,5.338e-05,-20.55,-24.02,0.05544,0.2772,0.02206,-0.03338,4541000,-4128000,2.25,-2.25
PV_max_374,ws,wo,ws,23.67,13920000,33.79,3428000,1.148,15.26,-0.1194,3.477e-08,5.379e-05,5.917e-05,-39.75,-36.46,0.05484,0.2742,0.02509,-0.02975,13430000,-13260000,2.75,-2.25
