Corner,VDD,VSS,cap_scs,mos_scs,res_scs,temperature,DCGain,GBW,PM,Zin_val,Zout_val,ICMR_Max,ICMR_Min,Out_Swing_Max,Out_Swing_Min,PSRR_VDD_1MHz,PSRR_VSS_1MHz,Vout_Sin_Max,Vout_Sin_Min,Iout_Sin_Max,Iout_Sin_Min
PVT_194,2.5,-2.25,wp,ws,tm,85,32.17,4853000,71.89,11840000,6.103,2.081,-1.707,2.314,-1.707,6.813e-05,0.0001567,1.478,-1.476,0.02952,-0.02956
PVT_195,2.75,-2.25,wp,ws,tm,25,31.68,5652000,74.84,10040000,4.71,2.312,-1.916,2.568,-1.916,5.707e-05,0.0001447,1.481,-1.486,0.02973,-0.02962
PVT_196,2.75,-2.25,wp,ws,tm,-25,31.78,6430000,74.94,8753000,3.921,2.337,-1.978,2.585,-1.978,4.64e-05,0.0001315,pending,pending,pending,pending
PVT_197,2.75,-2.25,wp,ws,tm,85,31.36,4848000,74.31,11250000,5.622,2.288,-1.837,2.551,-1.837,6.753e-05,0.0001595,1.479,-1.489,0.02978,-0.02958
PVT_198,2.25,-2.5,wp,ws,tm,25,34.3,6752000,69.29,10660000,5.137,1.875,-1.89,2.081,-1.89,4.627e-05,0.0001161,1.477,-1.512,0.03023,-0.02955
PVT_199,2.25,-2.5,wp,ws,tm,-25,35.88,8873000,68.06,9571000,4.29,1.896,-1.993,2.097,-1.993,3.148e-05,9.199e-05,1.48,-1.513,0.03025,-0.0296
PVT_200,2.25,-2.5,wp,ws,tm,85,32.71,5214000,70.73,11710000,6.109,1.854,-1.775,2.065,-1.775,6.333e-05,0.0001432,1.474,-1.506,0.03013,-0.02948
PVT_201,2.5,-2.5,wp,ws,tm,25,34.04,7145000,70.5,10150000,4.714,2.088,-2.056,2.319,-2.056,4.385e-05,0.0001119,1.479,-1.514,0.03028,-0.02959
PVT_202,2.5,-2.5,wp,ws,tm,-25,34.97,8830000,70.52,8976000,3.925,2.112,-2.144,2.336,-2.144,3.161e-05,9.365e-05,1.482,-1.513,0.03027,-0.02963
PVT_203,2.5,-2.5,wp,ws,tm,85,32.87,5673000,71.55,11260000,5.627,2.067,-1.947,2.302,-1.947,5.782e-05,0.0001335,1.477,-1.512,0.03025,-0.02954
PVT_204,2.75,-2.5,wp,ws,tm,25,31.94,6356000,74.66,9434000,4.36,2.296,-2.159,2.557,-2.159,4.922e-05,0.0001288,1.48,-1.515,0.0303,-0.0296
PVT_205,2.75,-2.5,wp,ws,tm,-25,31.76,7015000,75.39,8146000,3.623,2.322,-2.224,2.574,-2.224,3.953e-05,0.0001202,1.482,-1.514,0.03028,-0.02964
PVT_206,2.75,-2.5,wp,ws,tm,85,31.89,5615000,74.07,10700000,5.218,2.273,-2.075,2.539,-2.075,5.85e-05,0.0001386,1.478,-1.515,0.0303,-0.02956
PVT_207,2.25,-2.75,wp,ws,tm,25,34.97,7928000,68.76,10080000,4.719,1.859,-2.153,2.069,-2.153,3.762e-05,9.946e-05,1.476,-1.515,0.03029,-0.02953
PVT_208,2.25,-2.75,wp,ws,tm,-25,36.43,10260000,68.21,8993000,3.93,1.88,-2.268,2.085,-2.268,2.466e-05,7.97e-05,1.479,-1.513,0.03026,-0.02958
PVT_209,2.25,-2.75,wp,ws,tm,85,33.44,6087000,70.33,11140000,5.631,1.839,-2.021,2.053,-2.021,5.312e-05,0.0001221,1.473,-1.515,0.03029,-0.02945
PVT_210,2.5,-2.75,wp,ws,tm,25,34.43,8110000,70.79,9592000,4.364,2.072,-2.312,2.307,-2.312,3.676e-05,9.882e-05,1.478,-1.515,0.0303,-0.02957
PVT_211,2.5,-2.75,wp,ws,tm,-25,35.05,9706000,71.07,8401000,3.626,2.095,-2.403,2.324,-2.403,2.595e-05,8.504e-05,1.481,-1.513,0.03027,-0.02961
PVT_212,2.5,-2.75,wp,ws,tm,85,33.45,6547000,71.18,10730000,5.222,2.051,-2.194,2.29,-2.194,4.947e-05,0.0001161,1.476,-1.516,0.03032,-0.02951
PVT_213,2.75,-2.75,wp,ws,tm,25,32.07,6978000,74.85,8898000,4.063,2.279,-2.405,2.544,-2.405,4.247e-05,0.0001171,1.479,-1.516,0.03031,-0.02958
PVT_214,2.75,-2.75,wp,ws,tm,-25,31.68,7581000,76.02,7624000,3.371,2.304,-2.472,2.561,-2.472,3.318e-05,0.0001116,1.481,-1.514,0.03027,-0.02962
PVT_215,2.75,-2.75,wp,ws,tm,85,32.29,6343000,73.86,10190000,4.871,2.256,-2.316,2.526,-2.316,5.105e-05,0.000123,1.477,-1.517,0.03034,-0.02954
PVT_216,2.25,-2.25,ws,ws,tm,25,33.47,5646000,70.03,11340000,5.64,1.889,-1.635,2.092,-1.635,5.713e-05,0.0001394,1.478,-1.46,0.0292,-0.02957
