Corner,cap_scs,mos_scs,res_scs,DC_Gain_dB,BW_3dB,PM,Zin_1MHz,Zout_1MHz,DC_Gain_Abs,DC_Bias_Output,In_Ref_Noise,PSRR_P,PSRR_N,HD2,HD3,Iout_p2p,Gm,Iout_Sin_Max,Iout_Sin_Min,SR_Pos,SR_Neg,VDD,VSS
PV_mid_128,tm,wz,ws,22.17,20030000,32.53,3448000,0.659,12.84,0.1966,3.915e-08,6.51e-05,6.434e-05,-31.79,-41.13,0.04701,0.2351,0.02545,-0.02156,15470000,-18430000,2.75,-2.5
PV_mid_129,tm,wz,ws,22.33,16730000,34.61,3419000,0.8518,13.08,0.2023,3.705e-08,6.228e-05,6.405e-05,-32.2,-39.04,0.04731,0.2366,0.02586,-0.02145,11230000,-13850000,2.5,-2.25
PV_mid_130,tm,wz,ws,22.61,14810000,33.63,3431000,0.9961,13.51,0.0009953,3.488e-08,6.03e-05,6.339e-05,-34.66,-37.15,0.04821,0.2411,0.0229,-0.02531,6099000,-7718000,2.25,-2.25
PV_mid_131,tm,wz,ws,21.88,18710000,35.15,3407000,0.7415,12.41,0.3963,3.911e-08,6.559e-05,6.633e-05,-30.88,-40.99,0.04546,0.2273,0.02845,-0.01701,15230000,-17260000,2.75,-2.25
PV_mid_132,tm,wz,ws,22.89,19550000,28.25,3478000,0.6639,13.94,-0.2091,3.712e-08,6.095e-05,6.03e-05,-34.86,-39.38,0.05066,0.2533,0.0198,-0.03086,11560000,-16020000,2.5,-2.75
PV_mid_133,tm,wz,ws,23.26,17570000,28.11,3480000,0.755,14.55,-0.4192,3.485e-08,5.829e-05,5.894e-05,-38.93,-37.45,0.05239,0.262,0.01713,-0.03526,6510000,-9292000,2.25,-2.75
PV_mid_134,tm,wz,ws,22.41,21250000,31.15,3479000,0.5917,13.2,-0.008622,3.92e-08,6.447e-05,6.271e-05,-32.64,-41.15,0.04833,0.2416,0.02219,-0.02614,15240000,-19540000,2.75,-2.75
PV_mid_135,wp,tm,tm,22.27,15960000,36.52,3433000,0.904,12.98,-0.1572,3.711e-08,6.248e-05,6.625e-05,-38.39,-39.73,0.04704,0.2352,0.01957,-0.02748,10370000,-13480000,2.5,-2.5
PV_mid_136,wp,tm,tm,21.96,14270000,36.87,3437000,1.055,12.53,-0.356,3.575e-08,6.475e-05,6.995e-05,-43.45,-39.68,0.04529,0.2264,0.01535,-0.02994,5523000,-7913000,2.25,-2.5
PV_mid_137,wp,tm,tm,22.12,18040000,35.79,3433000,0.7881,12.77,0.03426,3.881e-08,6.347e-05,6.639e-05,-35.03,-41,0.04671,0.2335,0.02271,-0.02399,14490000,-16730000,2.75,-2.5
